time [ms],mag_x [μT],mag_y [μT],mag_z [μT]
38730,8.150962829589844,18.877471923828125,-23.000213623046875
38740,8.299972534179688,18.8145751953125,-22.99895477294922
38750,8.075080871582031,18.71253967285156,-22.79316711425781
38760,8.206230163574219,18.614913940429688,-22.60601043701172
38770,8.079803466796875,18.701156616210938,-22.930381774902344
38780,8.140281677246094,18.56829833984375,-23.295021057128903
38790,8.173896789550781,18.776885986328125,-23.005455017089844
38800,8.269996643066406,18.78475952148437,-22.719383239746094
38810,8.327552795410156,19.002609252929688,-22.499679565429688
38820,8.20550537109375,18.74810791015625,-22.707481384277344
38830,8.155708312988281,18.73370361328125,-22.77861785888672
38840,8.244285583496094,18.873031616210938,-22.835281372070312
38850,8.10491943359375,19.08624267578125,-23.0457763671875
38860,7.854179382324219,18.873748779296875,-23.135955810546875
38870,7.864555358886719,18.89678955078125,-22.92607879638672
38880,7.72894287109375,19.16621398925781,-22.614341735839844
38890,7.725212097167969,19.60263061523437,-22.8011474609375
38900,7.789039611816406,19.764175415039062,-22.530723571777344
38910,7.712669372558594,19.77110290527344,-22.61254119873047
38920,7.658233642578125,19.46954345703125,-22.76988220214844
38930,7.441322326660156,19.5531005859375,-22.832603454589844
38940,7.409690856933594,19.465744018554688,-22.66259765625
38950,7.137603759765625,19.36224365234375,-23.00096893310547
38960,7.317573547363281,19.259506225585938,-22.77496337890625
38970,6.842681884765625,19.5203857421875,-22.56513214111328
38980,6.9661407470703125,19.342041015625,-22.30235290527344
38990,6.8341217041015625,19.5811767578125,-22.32770538330078
39000,6.67706298828125,19.70492553710937,-21.97418212890625
39010,6.878448486328125,19.86752319335937,-21.94127655029297
39020,6.7173614501953125,19.556961059570312,-22.188819885253903
39030,6.544441223144531,19.53144836425781,-22.13636016845703
39040,6.676063537597656,19.5355224609375,-22.071517944335938
39050,7.0025634765625,19.32260131835937,-22.38921356201172
39060,7.090621948242188,19.218719482421875,-22.247085571289062
39070,6.757583618164063,18.9927978515625,-22.37220764160156
39080,6.58197021484375,18.945968627929688,-22.64713287353516
39090,6.834403991699219,19.10151672363281,-22.59848022460937
39100,6.895286560058594,18.987838745117188,-22.79534149169922
39110,6.664215087890625,19.341781616210938,-22.7745361328125
39120,6.837638854980469,19.173660278320312,-22.89838409423828
39130,6.854270935058594,19.073699951171875,-22.90129852294922
39140,7.120002746582031,18.964431762695312,-22.41200256347656
39150,6.974411010742188,18.95860290527344,-22.315818786621094
39160,6.957603454589844,18.76255798339844,-22.82006072998047
39170,6.801773071289063,18.658187866210938,-22.95629119873047
39180,6.688385009765625,18.668472290039062,-23.36005401611328
39190,6.420204162597656,18.72480773925781,-23.330093383789062
39200,6.514175415039063,18.349365234375,-23.482254028320312
39210,6.511314392089844,18.42686462402344,-23.38721466064453
39220,6.396705627441406,18.2552490234375,-23.551780700683597
39230,6.376426696777344,18.551788330078125,-23.87519836425781
39240,6.443153381347656,18.338531494140625,-23.69442749023437
39250,6.392730712890625,18.16192626953125,-23.597564697265625
39260,6.348175048828125,18.299819946289062,-23.53455352783203
39270,6.417503356933594,18.167205810546875,-23.83827209472656
39280,6.471595764160156,17.954544067382812,-23.58612060546875
39290,6.289421081542969,17.994140625,-23.87123107910156
39300,6.2201080322265625,17.815780639648438,-23.70176696777344
39310,6.14337158203125,18.042236328125,-23.84888458251953
39320,6.2977142333984375,17.816513061523438,-23.922401428222656
39330,6.196907043457031,18.101119995117188,-23.862998962402344
39340,5.956108093261719,17.877456665039062,-23.72529602050781
39350,6.102378845214844,18.005691528320312,-23.8089599609375
39360,6.121818542480469,17.950668334960938,-24.233856201171875
39370,6.13690185546875,18.036773681640625,-24.16889190673828
39380,6.214241027832031,18.094894409179688,-23.819808959960938
39390,6.082000732421875,18.29170227050781,-24.06902313232422
39400,6.023727416992188,18.15931701660156,-23.93750762939453
39410,6.059196472167969,18.077377319335938,-24.348190307617188
39420,6.000701904296875,18.191192626953125,-24.565216064453125
39430,6.020652770996094,18.03901672363281,-24.25237274169922
39440,5.917327880859375,18.06085205078125,-24.213829040527344
39450,6.0249786376953125,18.189117431640625,-24.161598205566406
39460,6.121925354003906,18.14947509765625,-24.37346649169922
39470,6.0440216064453125,18.0211181640625,-24.59674072265625
39480,5.828498840332031,17.578079223632812,-24.99494171142578
39490,5.9569091796875,17.49755859375,-24.78016662597656
39500,6.092155456542969,17.4505615234375,-24.938560485839844
39510,5.412643432617188,17.4522705078125,-25.17353820800781
39520,5.532257080078125,17.462265014648438,-25.32891082763672
39530,5.125724792480469,17.528488159179688,-25.92743682861328
39540,5.0441741943359375,17.467849731445312,-25.33850860595703
39550,5.106712341308594,17.831817626953125,-25.39354705810547
39560,5.350669860839844,17.6414794921875,-25.263168334960938
39570,5.458091735839844,17.806488037109375,-25.477828979492188
39580,5.634048461914063,17.693588256835938,-25.72032165527344
39590,5.797164916992188,17.881027221679688,-25.876609802246094
39600,5.707687377929688,17.655792236328125,-25.76453399658203
39610,5.726280212402344,17.678665161132812,-25.76580047607422
39620,5.8924407958984375,17.55303955078125,-25.926780700683597
39630,5.724639892578125,17.72515869140625,-25.99401092529297
39640,5.919830322265625,17.727890014648438,-26.144561767578125
39650,5.809722900390625,17.780487060546875,-26.03662109375
39660,5.6370849609375,17.58367919921875,-26.26715087890625
39670,5.639839172363281,17.781692504882812,-26.21664428710937
39680,6.035552978515625,17.753219604492188,-25.989486694335938
39690,5.672004699707031,17.50604248046875,-26.48139953613281
39700,5.489028930664063,17.285415649414062,-26.51313781738281
39710,5.731361389160156,17.324722290039062,-26.944976806640625
39720,5.727516174316406,17.167953491210938,-26.97144317626953
39730,5.988533020019531,17.380828857421875,-27.017074584960938
39740,5.968986511230469,17.347686767578125,-26.794517517089844
39750,5.827545166015625,17.262832641601562,-26.94648742675781
39760,5.848678588867188,17.217758178710938,-27.08560943603516
39770,5.7803802490234375,17.120285034179688,-27.10664367675781
39780,5.783744812011719,17.052200317382812,-27.282814025878903
39790,5.731559753417969,17.110977172851562,-27.34898376464844
39800,5.66009521484375,17.171630859375,-27.462310791015625
39810,5.465835571289063,17.081756591796875,-27.39990997314453
39820,5.501335144042969,16.919937133789062,-27.82379150390625
39830,5.3416290283203125,17.04034423828125,-27.705841064453125
39840,5.250785827636719,17.02899169921875,-28.079635620117188
39850,5.072029113769531,16.832260131835938,-28.05995178222656
39860,5.241966247558594,16.485076904296875,-28.34009552001953
39870,5.010276794433594,16.620651245117188,-28.763267517089844
39880,5.1144866943359375,16.730682373046875,-28.92838287353516
39890,5.259048461914063,16.704345703125,-29.35138702392578
39900,4.90203857421875,16.716018676757812,-29.50337219238281
39910,4.632347106933594,16.6883544921875,-29.567649841308597
39920,4.581703186035156,16.6571044921875,-29.396446228027344
39930,4.647270202636719,16.6768798828125,-29.377593994140625
39940,4.636390686035156,16.845962524414062,-29.23529815673828
39950,4.636390686035156,16.845962524414062,-29.23529815673828
39960,4.479804992675781,16.650146484375,-29.278579711914062
39970,4.6112060546875,16.661819458007812,-29.503944396972656
39980,4.477951049804688,16.676803588867188,-29.48261260986328
39990,4.300140380859375,16.608718872070312,-29.5731201171875
40000,3.906158447265625,16.62933349609375,-29.40489196777344
40010,3.939865112304688,16.85302734375,-29.93415069580078
40020,3.6786880493164062,16.994186401367188,-29.79473114013672
40030,3.519012451171875,17.189239501953125,-29.89366149902344
40040,3.2329559326171875,17.231582641601562,-29.849151611328125
40050,3.259605407714844,17.566360473632812,-29.89295196533203
40060,3.168983459472656,17.4730224609375,-30.138259887695312
40070,3.4008102416992188,17.435806274414062,-30.13468170166016
40080,3.276397705078125,17.063934326171875,-30.41590118408203
40090,3.4486846923828125,16.986175537109375,-30.565460205078125
40100,3.116249084472656,17.039993286132812,-30.850196838378903
40110,2.8748016357421875,17.270751953125,-31.106224060058597
40120,2.6265792846679688,17.306533813476562,-31.00089263916016
40130,2.8782501220703125,17.691558837890625,-30.74291229248047
40140,2.7841949462890625,18.113052368164062,-30.515304565429688
40150,2.8504562377929688,18.485153198242188,-30.40276336669922
40160,2.852325439453125,18.30572509765625,-30.265853881835938
40170,2.9528579711914062,18.140167236328125,-30.438003540039062
40180,2.9835128784179688,18.094772338867188,-30.42205810546875
40190,3.469276428222656,17.829635620117188,-30.585594177246094
40200,3.201141357421875,17.736373901367188,-30.66392517089844
40210,3.17633056640625,17.80633544921875,-30.81468963623047
40220,3.2915496826171875,17.453994750976562,-30.872543334960938
40230,3.3570327758789062,17.489242553710938,-31.013671875
40240,3.050498962402344,17.6380615234375,-31.097946166992188
40250,3.215126037597656,17.786285400390625,-30.999961853027344
40260,3.109375,17.83935546875,-31.583717346191406
40270,3.121002197265625,18.099517822265625,-30.90660858154297
40280,3.3572540283203125,18.105010986328125,-31.172119140625
40290,3.531600952148437,18.01513671875,-31.134246826171875
40300,3.586822509765625,18.271713256835938,-31.15267944335937
40310,3.881011962890625,18.25033569335937,-31.184982299804688
40320,3.724899291992188,18.278091430664062,-31.121978759765625
40330,3.76336669921875,18.24468994140625,-31.615074157714844
40340,3.6077728271484375,18.04408264160156,-31.56188201904297
40350,3.8294754028320312,18.0966796875,-31.617584228515625
40360,3.5848312377929688,18.133468627929688,-31.704734802246094
40370,3.839942932128906,17.947463989257812,-31.815818786621094
40380,3.6102294921875,17.957656860351562,-32.307838439941406
40390,3.629669189453125,18.242965698242188,-32.033058166503906
40400,4.0044708251953125,18.259429931640625,-32.17243194580078
40410,4.1514434814453125,18.15269470214844,-31.6414794921875
40420,4.18572998046875,18.285675048828125,-31.793174743652344
40430,3.926124572753906,18.19024658203125,-31.837928771972656
40440,4.095504760742188,18.108367919921875,-31.988624572753903
40450,4.072364807128906,18.27783203125,-31.805870056152344
40460,4.133934020996094,18.16401672363281,-32.07579040527344
40470,4.176612854003906,18.057632446289062,-32.20903778076172
40480,4.032417297363281,18.30987548828125,-32.25627899169922
40490,4.426750183105469,18.569625854492188,-32.50547790527344
40500,4.296722412109375,18.86376953125,-32.28422546386719
40510,4.335601806640625,18.975814819335938,-31.94481658935547
40520,4.552696228027344,19.063934326171875,-32.13957977294922
40530,4.58782958984375,19.044647216796875,-32.33094787597656
40540,4.95751953125,19.0272216796875,-32.432769775390625
40550,4.910079956054688,18.66986083984375,-32.13323211669922
40560,4.622779846191406,18.42010498046875,-32.80816650390625
40570,4.757904052734375,18.29302978515625,-32.78517150878906
40580,4.837211608886719,18.022247314453125,-32.876792907714844
40590,4.517303466796875,18.25814819335937,-33.10627746582031
40600,4.649200439453125,18.010299682617188,-33.6593017578125
40610,4.610122680664063,17.8055419921875,-33.2596435546875
40620,4.662811279296875,17.93524169921875,-33.395599365234375
40630,4.6053314208984375,18.258560180664062,-33.190162658691406
40640,4.55975341796875,18.12591552734375,-33.02540588378906
40650,4.825309753417969,18.132644653320312,-33.63927459716797
40660,4.925346374511719,18.16468811035156,-33.233482360839844
40670,4.884757995605469,18.28436279296875,-33.24356842041016
40680,4.5756683349609375,18.31341552734375,-33.50581359863281
40690,4.473907470703125,18.30311584472656,-33.34691619873047
40700,4.4239044189453125,18.3277587890625,-33.58167266845703
40710,4.5042266845703125,18.269073486328125,-33.66328430175781
40720,4.355751037597656,18.48492431640625,-33.28955841064453
40730,4.382377624511719,18.65414428710937,-33.31593322753906
40740,4.6199951171875,18.822662353515625,-33.56993103027344
40750,4.690330505371094,18.751495361328125,-33.506141662597656
40760,4.673797607421875,18.88140869140625,-33.14042663574219
40770,4.853050231933594,18.911117553710938,-33.542022705078125
40780,5.422882080078125,18.939117431640625,-33.68254852294922
40790,5.385124206542969,19.067398071289062,-33.717567443847656
40800,5.316688537597656,19.04461669921875,-33.594520568847656
40810,5.492607116699219,19.04476928710937,-33.86387634277344
40820,5.341163635253906,18.93882751464844,-33.54566955566406
40830,5.6703643798828125,18.74371337890625,-33.57477569580078
40840,5.7205657958984375,18.62098693847656,-33.71454620361328
40850,5.919113159179688,18.730148315429688,-33.773712158203125
40860,6.061447143554688,18.767791748046875,-33.75984191894531
40870,6.249565124511719,18.778121948242188,-34.15794372558594
40880,6.142051696777344,18.882614135742188,-34.02070617675781
40890,6.629890441894531,18.840484619140625,-33.75115966796875
40900,6.720489501953125,18.8974609375,-33.81389617919922
40910,6.720588684082031,18.95106506347656,-33.825828552246094
40920,6.736289978027344,19.08564758300781,-34.067344665527344
40930,6.953086853027344,18.94813537597656,-33.93213653564453
40940,6.716377258300781,18.698043823242188,-33.673179626464844
